,Unnamed: 0,PRJ. ID,PRJ.,COVER MAT,HOUSING MAT,TEARLINE,CUSHION TETHER,CUSHION RADIUS,INTERFACE,FLAPPY MASS,HINGE WIDTH,PLANE,NECK,INFLATOR,WRAPPER,CUSHION FOLDTYPE,daokou,CAE RESULT,FAILURE
10,18,25,VW B8L 190128,TT1081,STEEL,H,3,700,ASW3,0.0327,51.7,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\422_190128_ESR-048343_B8L_DAB_Deployment_Yujin\99_Run_Mattest,1
11,19,26,GWM B01 H,TT1081,STEEL,H,3,700,ASW8,0.0206,73.598,1,1,ADP 1.3B 210kPa,1,RC1,1,Y:\comp\02_DAB\444_190717_ESR-056950_GreatWall_B01_DAB_Deployment_Yujin\02_Run_0717,0
12,20,27,Daimler V5,TT1081,STEEL,H,3,700,ASW5,0.0222,58.588,0,0,ADP 1.3B 210kPa,0,RC1,0,Y:\comp\02_DAB\443_190711_ESR-056671_DAIMLER_V5_DAB_Deployment_HYQ\02_Run\05_mat_test\HT_mat_check,0
13,21,28,GLY DC1E V711,TT1081,STEEL,H,2,700,ASW3,0.0269,35.552,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\449_190819_ESR-058562_DC1E_DAB_Deployment_Yujin\02_Run\V7_11_Newmaterial,1
14,22,29,GLY DC1E V8,TT1081,STEEL,H,2,700,ASW3,0.0252,63.435,0,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\449_190819_ESR-058562_DC1E_DAB_Deployment_Yujin\02_Run_V8_Nancy\V81,1
15,23,30,GWM A01,TT1081,STEEL,H,2,690,ASW8,0.0204,73.598,1,1,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\483_200811_ESR-080159_A01_DAB_Deployment_YulongLiu_HYQ\02_Run,0
16,26,34,MITSUBISH DG,TT1081,STEEL,P,0,590,ASW8,0.0222,56.487,1,1,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\485_200828_ESR-081275_DG_DAB_Deployment_HYQ\02_Run,1
17,27,35,GDP Illuminated emblem,TT1081,PG8,H,3,690,ASW5,0.0336,74.1,1,1,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\463_191206_ESR-064736_GDP_Illuminated_emblem_DAB_integrity_performance_WGZ\02_run\V4_woWrapper,1
18,28,36,GDP Illuminated emblem,TT1081,PG8,H,3,690,ASW5,0.0336,74.1,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\463_191206_ESR-064736_GDP_Illuminated_emblem_DAB_integrity_performance_WGZ\02_run\V4_withWrapper,0
19,29,37,A2XL,TT1081,STEEL,I,2,670,ASW3,0.0225,61.357,1,1,ADPS 1.5D,0,LC3,0,Y:\comp\02_DAB\480_200721_ESR-079025_GM_A2XL_LW_DAB_deployment_HYQ\02_Run_TT1081,0
20,32,40,FE57B,TT1081,STEEL,H,3,680,ASW8,0.0255,71.563,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\440_190523_ESR-054159_FE57B_DAB_Deployment_Yujin\02_run_TT1081,0
21,35,43,Bordrin B31,TT1081,STEEL,H,3,700,ASW5,0.0252,70.935,1,1,ADP 1.3B 210kPa,1,DRR,1,Y:\comp\02_DAB\439_190516_ESR-053777_Bordrin_B31_DAB_Deployment_HYQ\03_Run_TT1081,0
22,44,56,GDP Illuminated emblem,TT1081,PG8,H,3,690,ASW5,0.0354,74.1,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\463_191206_ESR-064736_GDP_Illuminated_emblem_DAB_integrity_performance_WGZ\02_run\V6_Strength,1
23,45,57,HAIMA SG00,TT1081,STEEL,H,3,690,ASW3,0.0355,67.341,1,1,ADP 1.3B 210kPa,1,DRR,0,Y:\comp\02_DAB\435_190423_ESR-052619_SG00_Cover_hook_separate_risk_analysis_Yujin\02_Run\MATTEST_1081,1
